system:index,BAI,DSM,NDVI,Plot,Severity,end_date,precipitation,start_date,temperature_2m_max,temperature_2m_min,.geo
3_0000000000000000007c_0,39.619225931334974,34.0,0.37932290911599137,BS219,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000007d_0,39.619225931334974,34.0,0.37932290911599137,BS220,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000007e_0,39.619225931334974,34.0,0.37932290911599137,BS221,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_0000000000000000007f_0,39.619225931334974,34.0,0.37932290911599137,BS222,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000080_0,39.619225931334974,34.0,0.37932290911599137,BS223,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000081_0,39.619225931334974,34.0,0.37932290911599137,BS224,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000082_0,39.619225931334974,34.0,0.37932290911599137,BS226,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000083_0,39.619225931334974,34.0,0.37932290911599137,BS228,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000084_0,39.619225931334974,34.0,0.37932290911599137,BS229,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000085_0,39.619225931334974,34.0,0.37932290911599137,BS230,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000086_0,39.619225931334974,34.0,0.37932290911599137,BS232,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000087_0,39.619225931334974,34.0,0.37932290911599137,BS233,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
3_00000000000000000088_0,39.619225931334974,34.0,0.37932290911599137,BS234,3.0,2010-01-01,0.06632432,2009-05-01,298.6526985168457,284.8132876555125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.5,36.5]}"
