"","CwdId","Plot","SampleYear","Fire","PRam","Species","DecayClass","Mass","tInit","t","Mass0","Y"
"370",671,"BS301",2013,1,1,"Redwood",1,0.014354431683216,2013,0,0.014354431683216,0
"371",392,"BS313",2013,0,1,"Redwood",1,10.6534536095087,2013,0,10.6534536095087,0
"372",393,"BS313",2013,0,1,"Redwood",1,0.720543845612985,2013,0,0.720543845612985,0
"373",394,"BS313",2013,0,1,"Redwood",1,0.484163083029672,2013,0,0.484163083029672,0
"374",395,"BS313",2013,0,1,"Redwood",1,1.86562518765869,2013,0,1.86562518765869,0
"375",396,"BS313",2013,0,1,"Redwood",1,0.855239426783127,2013,0,0.855239426783127,0
"376",397,"BS313",2013,0,1,"Redwood",1,0.199822417543998,2010,3,0.199822417543998,0
"377",672,"BS313",2013,0,1,"Redwood",1,0.185679299139479,2013,0,0.185679299139479,0
"378",673,"BS313",2013,0,1,"Redwood",1,0.0872236456961836,2013,0,0.0872236456961836,0
"379",462,"BS390",2013,1,0,"Redwood",4,0.176319553341037,2010,3,0.388519973430112,-0.79004658741449
"380",463,"BS391",2013,0,1,"Redwood",3,0.485313182468369,2013,0,0.485313182468369,0
"381",464,"BS391",2013,0,1,"Redwood",2,0.297549642381012,2010,3,0.297549642381012,0
"382",465,"BS391",2013,0,1,"Redwood",3,0.0538126675854633,2010,3,0.0538126675854633,0
"383",466,"BS391",2013,0,1,"Redwood",3,0.165334439559257,2010,3,0.165334439559257,0
"384",467,"BS391",2013,0,1,"Redwood",3,0.510298247015213,2010,3,1.2303431419264,-0.880053033775839
"385",468,"BS391",2013,0,1,"Redwood",2,0.193686162202569,2013,0,0.193686162202569,0
"386",469,"BS391",2013,0,1,"Redwood",3,0.0228382674102762,2010,3,0.0228382674102762,0
"387",470,"BS391",2013,0,1,"Redwood",1,0.515534931394709,2013,0,0.515534931394709,0
"388",471,"BS391",2013,0,1,"Redwood",3,0.0185560922708494,2010,3,0.0185560922708494,0
"389",472,"BS391",2013,0,1,"Redwood",3,0.031545356860444,2010,3,0.031545356860444,0
"390",675,"BS391",2013,0,1,"Redwood",1,0.01670034549765,2013,0,0.01670034549765,0
"391",676,"BS391",2013,0,1,"Redwood",1,0.0275798168841454,2013,0,0.0275798168841454,0
"392",677,"BS391",2013,0,1,"Redwood",1,0.0162486592689,2013,0,0.0162486592689,0
"393",501,"BS429",2018,1,1,"Tanoak",3,0.00783284102291561,2018,0,0.00783284102291561,0
"394",493,"BS426",2018,1,0,"Tanoak",3,0.0445869412073657,2018,0,0.0445869412073657,0
"395",494,"BS426",2018,1,0,"Tanoak",3,0.0512032064510203,2010,8,0.0512032064510203,0
"396",682,"BS426",2018,1,0,"Tanoak",2,0.0170765893350881,2013,5,0.0170765893350881,0
"397",684,"BS426",2018,1,0,"Tanoak",3,0.477666227679953,2018,0,0.477666227679953,0
"398",1005,"BS433",2018,1,1,"Redwood",1,2.16267411805977,2018,0,2.16267411805977,0
"399",1006,"BS433",2018,1,1,"Redwood",1,0.131337641880879,2018,0,0.131337641880879,0
"400",1007,"BS433",2018,1,1,"Tanoak",1,0.305581712423459,2018,0,0.305581712423459,0
"401",1008,"BS433",2018,1,1,"Redwood",1,0.0206450718954,2018,0,0.0206450718954,0
"402",1009,"BS433",2018,1,1,"Redwood",1,0.276584775678601,2018,0,0.276584775678601,0
"403",1011,"BS433",2018,1,1,"Redwood",2,0.0228757660633202,2018,0,0.0228757660633202,0
"404",1012,"BS433",2018,1,1,"Redwood",2,0.278513442971967,2018,0,0.278513442971967,0
"405",1013,"BS433",2018,1,1,"Redwood",1,0.320987304738017,2018,0,0.320987304738017,0
"406",507,"BS433",2018,1,1,"Redwood",2,0.151909481223281,2009,9,0.300005684167631,-0.68051659651519
"407",1014,"BS457",2018,1,1,"Tanoak",2,0.0336992391474141,2018,0,0.0336992391474141,0
"408",689,"BS457",2018,1,1,"Tanoak",2,0.259595168796728,2018,0,0.259595168796728,0
"409",690,"BS457",2018,1,1,"Tanoak",2,0.125529167984162,2018,0,0.125529167984162,0
"410",512,"BS457",2018,1,1,"Tanoak",3,0.34203719615811,2018,0,0.34203719615811,0
