"","Plot","SampleYear","Elevation","Slope","BurnScar","PRam","Fire","HostCwdMass","PlotCwdMass","DeadHostBiomass"
"172","BS272",2014,624,32,"chalk",1,1,16.0195378038906,16.0195378038906,34139.3850809169
"173","BS272",2019,624,32,"chalk",1,1,22.3445962013412,28.7728333642781,32673.6549505839
"174","BS272",2022,624,32,"chalk",1,1,22.2609433988373,30.834721195406,1007.59126582274
"175","BS273",2011,283,41,"chalk",1,1,0.161603676645778,0.161603676645778,13410.8571189743
"176","BS273",2014,283,41,"chalk",1,1,6.39287115567404,6.39287115567404,36505.3098355297
"177","BS273",2014,283,41,"chalk",1,1,6.39287115567404,6.39287115567404,36505.3098355297
"178","BS273",2019,283,41,"chalk",1,1,8.18231381367074,8.18231381367074,580.06444329431
"179","BS273",2022,283,41,"chalk",1,1,8.22273466374032,8.22273466374032,127.332862531655
"180","BS276",2009,357,22,"chalk",1,1,6.48153401336663,6.48153401336663,3.39050607085258
"181","BS276",2023,357,22,"chalk",1,1,5.49522753013924,5.49522753013924,26644.0449259789
"182","BS276",2023,357,22,"chalk",1,1,5.49522753013924,5.49522753013924,26644.0449259789
"183","BS277",2021,262,44,"dolan_chalk",1,1,4.94017936771524,4.94017936771524,2063.37787330323
"184","BS278",2021,384,41,"dolan_chalk",1,1,21.5883738107206,24.5875485564133,5427.68140646459
"185","BS283",2010,606,33,"chalk",1,1,17.6843614039984,17.6843614039984,22710.3310710093
"186","BS283",2013,606,33,"chalk",1,1,53.8385928335319,55.0822294375067,91415.5343601035
"187","BS283",2018,606,33,"chalk",1,1,44.0799670038224,45.3236036077972,18497.5684017582
"188","BS283",2022,606,33,"chalk",1,1,40.4559241105742,41.699560714549,24163.3863055969
"189","BS296",2009,590,40,"dolan_chalk",0,1,5.92918334975079,5.92918334975079,NA
"190","BS296",2021,590,40,"dolan_chalk",0,1,14.5539448151676,18.5064231521146,12706.9292213813
"191","BS297",2009,618,30,"dolan_chalk",1,1,28.1331414802331,28.1331414802331,NA
"192","BS297",2010,618,30,"dolan_chalk",1,1,28.1331414802331,28.1331414802331,105406.365601394
"193","BS297",2013,618,30,"dolan_chalk",1,1,28.7910802386889,35.1464826437279,94628.7093963114
"194","BS297",2018,618,30,"dolan_chalk",1,1,89.3429763655838,99.4248690521224,29959.6060763376
"195","BS301",2010,510,27,"dolan_chalk",1,1,1.14286619896759,1.14286619896759,72470.386382103
