system:index,Plot,b0,b10,b30,.geo
000000000000000000e1_0,BS412,7,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e2_0,BS413,6,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e3_0,BS415,8,8,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e4_0,BS416,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e5_0,BS420,8,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e6_0,BS423,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e7_0,BS425,8,8,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e8_0,BS426,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000e9_0,BS427,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ea_0,BS429,6,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000eb_0,BS430,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ec_0,BS431,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ed_0,BS433,7,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ee_0,BS434,11,9,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ef_0,BS436,8,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f0_0,BS438,7,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f1_0,BS457,8,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f2_0,BS458,7,8,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f3_0,BS461,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f4_0,BS468,6,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f5_0,BS469,8,8,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f6_0,BS470,8,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f7_0,BS474,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f8_0,BS478,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f9_0,BS486,6,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fa_0,BS494,9,8,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fb_0,BS499,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fc_0,BS504,7,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fd_0,BS513,4,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000fe_0,BS518,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ff_0,BS519,8,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000100_0,BS520,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000101_0,BS521,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000102_0,BS600,8,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000103_0,BS601,7,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000104_0,BS603,7,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000105_0,BS604,9,7,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000106_0,BS605,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000107_0,BS607,7,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000108_0,BS610,8,8,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000109_0,BS611,9,8,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010a_0,BS612,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010b_0,BS613,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010c_0,BS620,8,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010d_0,BS621,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010e_0,BS622,5,4,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000010f_0,BS623,7,6,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000110_0,BS624,9,9,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000111_0,BS625,8,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000112_0,BS626,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000113_0,BS627,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000114_0,BS628,5,5,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000115_0,BS629,7,7,2,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000116_0,BS632,8,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000117_0,BS633,7,7,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
