"","Plot","SampleYear","Species","TotalStem","LiveBiomass","Elevation","Slope","BurnScar","PRam","Fire"
"230","BS062",2007,"UMCA",29,5450.41389030149,604,15,"dolan",0,0
"231","BS062",2011,"QUAG",12,370651.230392542,604,15,"dolan",1,0
"232","BS062",2011,"UMCA",25,6193.92777007034,604,15,"dolan",1,0
"233","BS062",2014,"PIPO",1,1.58381593389054,604,15,"dolan",1,0
"234","BS062",2014,"QUAG",12,380665.196798488,604,15,"dolan",1,0
"235","BS062",2014,"UMCA",25,7100.8637842078,604,15,"dolan",1,0
"236","BS062",2019,"QUAG",9,347087.815290351,604,15,"dolan",1,0
"237","BS062",2019,"UMCA",22,8235.78435829593,604,15,"dolan",1,0
"238","BS062",2021,"QUAG",6,298350.057152845,604,15,"dolan",1,1
"239","BS062",2021,"UMCA",25,2067.49576008759,604,15,"dolan",1,1
"240","BS063",2006,"ARME",6,34.3089647194264,630,25,"control",0,0
"241","BS063",2006,"PIPO",6,43.4759402653257,630,25,"control",0,0
"242","BS063",2006,"QUAG",12,237194.298978172,630,25,"control",0,0
"243","BS063",2006,"UMCA",30,5686.03487262856,630,25,"control",0,0
"244","BS066",2006,"ARME",1,321.144819020794,720,27,"dolan_chalk",0,0
"245","BS066",2006,"LIDE",34,235221.036901238,720,27,"dolan_chalk",0,0
"246","BS066",2006,"PIPO",1,2587.47779576088,720,27,"dolan_chalk",0,0
"247","BS066",2006,"QUAG",2,30534.6890973925,720,27,"dolan_chalk",0,0
"248","BS066",2011,"LIDE",27,281422.854324756,720,27,"dolan_chalk",0,1
"249","BS066",2011,"PIPO",1,3386.36995303321,720,27,"dolan_chalk",0,1
"250","BS066",2011,"QUAG",2,25535.2027020585,720,27,"dolan_chalk",0,1
"251","BS066",2014,"LIDE",31,251185.712026249,720,27,"dolan_chalk",0,1
"252","BS066",2014,"PIPO",1,3615.00381816805,720,27,"dolan_chalk",0,1
"253","BS066",2014,"QUAG",2,24651.0787256995,720,27,"dolan_chalk",0,1
"254","BS066",2019,"ARME",4,17.0907347577442,720,27,"dolan_chalk",1,1
"255","BS066",2019,"LIDE",78,209202.325626334,720,27,"dolan_chalk",1,1
"256","BS066",2019,"PIPO",1,5099.79547994453,720,27,"dolan_chalk",1,1
"257","BS066",2019,"QUAG",2,23363.1322230007,720,27,"dolan_chalk",1,1
"258","BS070",2007,"QUAG",6,426096.474441514,623,40,"dolan",1,0
"259","BS070",2007,"UMCA",51,5870.64269570064,623,40,"dolan",1,0
"260","BS070",2011,"QUAG",6,550103.149005863,623,40,"dolan",1,0
"261","BS070",2011,"UMCA",49,7105.11085947594,623,40,"dolan",1,0
"262","BS070",2014,"QUAG",6,533898.386642845,623,40,"dolan",1,0
"263","BS070",2014,"UMCA",46,7710.90569926535,623,40,"dolan",1,0
"264","BS070",2021,"QUAG",4,461750.146525586,623,40,"dolan",1,1
"265","BS070",2021,"UMCA",14,1818.05270986967,623,40,"dolan",1,1
"266","BS071",2007,"ARME",27,54260.3228124516,700,30,"dolan",0,0
"267","BS071",2007,"PIPO",77,10466.2984793157,700,30,"dolan",0,0
"268","BS071",2007,"QUAG",10,363442.237236964,700,30,"dolan",0,0
"269","BS071",2021,"ARME",3,46150.6242104857,700,30,"dolan",0,1
"270","BS072",2007,"ARME",63,52008.4105429806,735,18,"dolan",1,0
"271","BS072",2007,"LIDE",3,2538.7909438504,735,18,"dolan",1,0
"272","BS072",2007,"PIPO",1,4.71806102012557,735,18,"dolan",1,0
"273","BS072",2007,"QUAG",2,181408.747842235,735,18,"dolan",1,0
"274","BS072",2007,"UMCA",20,3324.5461475418,735,18,"dolan",1,0
"275","BS072",2021,"ARME",9,22.6202141581861,735,18,"dolan",1,1
"276","BS072",2021,"QUAG",1,56769.9312339294,735,18,"dolan",1,1
"277","BS072",2021,"UMCA",7,18.9646812494062,735,18,"dolan",1,1
