Plot,SampleYear,Species,DecayClass,VolumePlot,Density,MassPlot
BS633,2023,LIDE,3,0.064486491,0.383580113,0.024735736
BS027,2009,LIDE,4,1.126759694,0.243590123,0.274467532
BS027,2010,LIDE,4,1.126759694,0.243590123,0.274467532
BS027,2013,LIDE,4,1.126759694,0.243590123,0.274467532
BS027,2018,LIDE,4,0.035916258,0.243590123,0.008748846
BS027,2022,LIDE,4,4.554395341,0.243590123,1.109405721
BS078,2023,LIDE,4,0.177657065,0.243590123,0.043275506
BS081,2018,LIDE,4,1.557206969,0.243590123,0.379320237
BS081,2023,LIDE,4,0.626858585,0.243590123,0.15269656
BS084,2013,LIDE,4,0.495141509,0.243590123,0.120611581
BS085,2011,LIDE,4,0.237237369,0.243590123,0.05778868
BS085,2014,LIDE,4,0.237237369,0.243590123,0.05778868
BS086,2023,LIDE,4,0.21888992,0.243590123,0.053319423
BS094,2009,LIDE,4,0.310389354,0.243590123,0.075607781
BS141,2009,LIDE,4,1.050968771,0.243590123,0.256005612
BS141,2011,LIDE,4,1.689689901,0.243590123,0.411591771
BS141,2014,LIDE,4,0.903207888,0.243590123,0.220012521
BS147,2009,LIDE,4,0.270471493,0.243590123,0.065884184
BS147,2022,LIDE,4,0.500682297,0.243590123,0.121961262
BS159,2018,LIDE,4,0.11779009,0.243590123,0.028692503
BS165,2013,LIDE,4,0.079843577,0.243590123,0.019449107
BS168,2023,LIDE,4,0.381318563,0.243590123,0.092885436
BS220,2009,LIDE,4,0.824039753,0.243590123,0.200727945
BS226,2018,LIDE,4,0.386082102,0.243590123,0.094045787
BS226,2023,LIDE,4,0.386082102,0.243590123,0.094045787
BS239,2018,LIDE,4,0.089841696,0.243590123,0.02188455
BS276,2009,LIDE,4,0.121344016,0.243590123,0.029558204
BS313,2022,LIDE,4,0.084735901,0.243590123,0.020640829
BS316,2019,LIDE,4,0.243846495,0.243590123,0.059398598
BS383,2009,LIDE,4,3.088359348,0.243590123,0.752293833
BS383,2011,LIDE,4,3.088359348,0.243590123,0.752293833
BS383,2014,LIDE,4,3.088359348,0.243590123,0.752293833
BS383,2019,LIDE,4,3.088359348,0.243590123,0.752293833
BS390,2018,LIDE,4,0.048317695,0.243590123,0.011769713
BS390,2022,LIDE,4,0.048317695,0.243590123,0.011769713
BS407,2009,LIDE,4,0.942418891,0.243590123,0.229563934
BS407,2010,LIDE,4,0.942418891,0.243590123,0.229563934
BS407,2013,LIDE,4,0.942418891,0.243590123,0.229563934
BS407,2018,LIDE,4,0.942418891,0.243590123,0.229563934
BS429,2009,LIDE,4,0.652960398,0.243590123,0.159054704
BS429,2010,LIDE,4,0.059670625,0.243590123,0.014535175
BS429,2013,LIDE,4,0.26308875,0.243590123,0.064085821
BS457,2010,LIDE,4,0.134982455,0.243590123,0.032880393
BS457,2022,LIDE,4,0.413923878,0.243590123,0.100827768
BS521,2009,LIDE,4,0.351995822,0.243590123,0.085742706
BS603,2009,LIDE,4,0.528321637,0.243590123,0.128693933
BS603,2010,LIDE,4,0.487952171,0.243590123,0.118860329
BS603,2013,LIDE,4,0.832019398,0.243590123,0.202671707
BS611,2009,LIDE,4,0.900129127,0.243590123,0.219262565
BS611,2010,LIDE,4,0.336880834,0.243590123,0.082060844
BS611,2013,LIDE,4,0.203952195,0.243590123,0.04968074
BS611,2018,LIDE,4,0.750707127,0.243590123,0.182864841
BS627,2009,LIDE,4,0.123296163,0.243590123,0.030033728
BS629,2018,LIDE,4,0.053328535,0.243590123,0.012990304
BS632,2009,LIDE,4,0.709403037,0.243590123,0.172803573
BS632,2018,LIDE,4,0.074261142,0.243590123,0.018089281
BS632,2023,LIDE,4,0.032211142,0.243590123,0.007846316
BS633,2023,LIDE,4,0.270052404,0.243590123,0.065782098
BS050,2009,LIDE,5,0.497353387,0.244509135,0.121607446
BS081,2023,LIDE,5,0.0486,0.244509135,0.011883144
BS141,2011,LIDE,5,0.34499007,0.244509135,0.084353224
BS141,2014,LIDE,5,1.131472083,0.244509135,0.27665526
BS147,2009,LIDE,5,0.375518497,0.244509135,0.091817703
BS147,2010,LIDE,5,0.645989989,0.244509135,0.157950453
BS147,2013,LIDE,5,0.645989989,0.244509135,0.157950453
BS159,2009,LIDE,5,0.031415927,0.244509135,0.007681481
BS194,2022,LIDE,5,0.05969026,0.244509135,0.014594814
BS429,2010,LIDE,5,0.495821861,0.244509135,0.121232974
BS429,2013,LIDE,5,0.292403736,0.244509135,0.071495385
BS603,2010,LIDE,5,0.416092669,0.244509135,0.101738459
BS603,2013,LIDE,5,0.416092669,0.244509135,0.101738459
BS611,2013,LIDE,5,0.132928639,0.244509135,0.032502267
BS627,2009,LIDE,5,0.311206168,0.244509135,0.076092751
BS048,2021,PSME,1,0.054992951,0.45986923,0.025289566
BS053,2013,PSME,1,0.678335631,0.45986923,0.311945684
BS053,2018,PSME,1,0.678335631,0.45986923,0.311945684
