Plot,SampleYear,Elevation,Slope,BurnScar,PRam,Fire,Easting,Northing
BS217,2019,127,30,sober_chalk,1,1,609915.972,4012273.466
BS217,2022,127,30,sober_chalk,1,1,609915.972,4012273.466
BS218,2009,92,27,chalk,1,1,610282.761,4011533.626
BS218,2006,92,27,chalk,1,0,610282.761,4011533.626
BS219,2009,101,19,chalk,0,1,610423.678,4011943.738
BS219,2006,101,19,chalk,0,0,610423.678,4011943.738
BS220,2009,231,40,sober_chalk,1,1,611102.903,4011966.859
BS220,2006,231,40,sober_chalk,1,0,611102.903,4011966.859
BS220,2023,231,40,sober_chalk,1,1,611102.903,4011966.859
BS221,2009,435,30,sober_chalk,1,1,611769.84,4011636.647
BS221,2006,435,30,sober_chalk,1,0,611769.84,4011636.647
BS221,2010,435,30,sober_chalk,1,1,611769.84,4011636.647
BS221,2013,435,30,sober_chalk,1,1,611769.84,4011636.647
BS221,2013,435,30,sober_chalk,1,1,611769.84,4011636.647
BS221,2018,435,30,sober_chalk,1,1,611769.84,4011636.647
BS221,2023,435,30,sober_chalk,1,1,611769.84,4011636.647
BS222,2009,416,37,sober_chalk,1,1,612079.327,4012053.331
BS222,2006,416,37,sober_chalk,1,0,612079.327,4012053.331
BS222,2010,416,37,sober_chalk,1,1,612079.327,4012053.331
BS223,2006,600,30,sober_chalk,1,0,612390,4012440
BS224,2009,435,31,sober_chalk,1,1,613231.569,4012836.453
BS224,2009,435,31,sober_chalk,1,1,613231.569,4012836.453
BS224,2007,435,31,sober_chalk,1,0,613231.569,4012836.453
BS224,2010,435,31,sober_chalk,1,1,613231.569,4012836.453
BS224,2013,435,31,sober_chalk,1,1,613231.569,4012836.453
BS224,2018,435,31,sober_chalk,1,1,613231.569,4012836.453
BS224,2022,435,31,sober_chalk,1,1,613231.569,4012836.453
BS226,2009,474,38,sober_chalk,1,1,613566.759,4012360.437
BS226,2006,474,38,sober_chalk,1,0,613566.759,4012360.437
BS226,2010,474,38,sober_chalk,1,1,613566.759,4012360.437
BS226,2018,474,38,sober_chalk,1,1,613566.759,4012360.437
BS226,2023,474,38,sober_chalk,1,1,613566.759,4012360.437
BS228,2006,600,40,sober_chalk,1,0,614357,4011976
BS229,2006,725,35,sober_chalk,1,0,614239,4010924
BS230,2006,552,29,sober_chalk,1,0,614964,4011492
BS232,2009,689,33,sober_chalk,1,1,612651,4011252
BS232,2007,689,33,sober_chalk,1,0,612651,4011252
BS232,2011,689,33,sober_chalk,1,1,612651,4011252
BS232,2011,689,33,sober_chalk,1,1,612651,4011252
BS232,2014,689,33,sober_chalk,1,1,612651,4011252
BS232,2014,689,33,sober_chalk,1,1,612651,4011252
BS232,2019,689,33,sober_chalk,1,1,612651,4011252
BS232,2019,689,33,sober_chalk,1,1,612651,4011252
BS232,2023,689,33,sober_chalk,1,1,612651,4011252
BS233,2009,687,38,chalk,1,1,612767.386,4010332.364
BS233,2006,687,38,chalk,1,0,612767.386,4010332.364
BS233,2011,687,38,chalk,1,1,612767.386,4010332.364
BS233,2014,687,38,chalk,1,1,612767.386,4010332.364
BS233,2019,687,38,chalk,1,1,612767.386,4010332.364
BS233,2022,687,38,chalk,1,1,612767.386,4010332.364
BS234,2009,555,20,sober_chalk,1,1,611980,4011058
BS234,2007,555,20,sober_chalk,1,0,611980,4011058
BS234,2023,555,20,sober_chalk,1,1,611980,4011058
BS236,2006,409,39,chalk,1,0,611842.046,4010131.328
BS239,2009,88,35,control,1,0,609755,4011532
BS239,2006,88,35,control,1,0,609755,4011532
BS239,2018,88,35,control,1,0,609755,4011532
BS240,2006,305,39,sober_chalk,1,0,615141,4012216
BS241,2006,361,39,sober_chalk,1,0,615618,4012013
BS241,2023,361,39,sober_chalk,1,1,615618,4012013
BS242,2009,403,39,sober_chalk,1,1,616648.282,4012129.472
BS242,2006,403,39,sober_chalk,1,0,616648.282,4012129.472
BS242,2010,403,39,sober_chalk,1,1,616648.282,4012129.472
BS242,2013,403,39,sober_chalk,1,1,616648.282,4012129.472
BS242,2018,403,39,sober_chalk,1,1,616648.282,4012129.472
BS242,2022,403,39,sober_chalk,1,1,616648.282,4012129.472
BS243,2006,423,27,sober_chalk,0,0,617313,4012297
BS244,2009,357,35,sober_chalk,0,1,617903.988,4012690.131
BS244,2006,357,35,sober_chalk,0,0,617903.988,4012690.131
BS244,2010,357,35,sober_chalk,0,1,617903.988,4012690.131
BS244,2013,357,35,sober_chalk,0,1,617903.988,4012690.131
BS244,2018,357,35,sober_chalk,0,1,617903.988,4012690.131
BS244,2023,357,35,sober_chalk,0,1,617903.988,4012690.131
BS245,2009,443,20,sober_chalk,1,1,618482.589,4012396.251
BS245,2006,443,20,sober_chalk,1,0,618482.589,4012396.251
BS245,2010,443,20,sober_chalk,1,1,618482.589,4012396.251
BS245,2023,443,20,sober_chalk,1,1,618482.589,4012396.251
BS246,2009,518,32,sober_chalk,0,1,618837.89,4012536.759
BS246,2006,518,32,sober_chalk,0,0,618837.89,4012536.759
BS246,2023,518,32,sober_chalk,0,1,618837.89,4012536.759
BS247,2009,570,26,sober_chalk,0,1,619407.828,4013173.577
BS247,2006,570,26,sober_chalk,0,0,619407.828,4013173.577
BS247,2010,570,26,sober_chalk,0,1,619407.828,4013173.577
BS247,2010,570,26,sober_chalk,0,1,619407.828,4013173.577
BS247,2013,570,26,sober_chalk,0,1,619407.828,4013173.577
BS247,2013,570,26,sober_chalk,0,1,619407.828,4013173.577
BS247,2018,570,26,sober_chalk,0,1,619407.828,4013173.577
BS247,2022,570,26,sober_chalk,0,1,619407.828,4013173.577
BS247,2022,570,26,sober_chalk,0,1,619407.828,4013173.577
BS248,2006,637,28,sober_chalk,0,0,620448,4012349
BS249,2009,580,30,sober_chalk,1,1,620983.888,4012365.085
BS249,2006,580,30,sober_chalk,1,0,620983.888,4012365.085
BS249,2010,580,30,sober_chalk,1,1,620983.888,4012365.085
BS251,2009,866,18,sober_chalk,0,1,613948.519,4010248.518
BS251,2006,866,18,sober_chalk,0,0,613948.519,4010248.518
BS251,2011,866,18,sober_chalk,0,1,613948.519,4010248.518
BS251,2014,866,18,sober_chalk,0,1,613948.519,4010248.518
BS251,2019,866,18,sober_chalk,0,1,613948.519,4010248.518
BS251,2022,866,18,sober_chalk,0,1,613948.519,4010248.518
BS253,2007,866,24,sober_chalk,1,0,615257,4009132
BS254,2009,888,27,sober_chalk,0,1,615787.928,4009099.847
BS254,2006,888,27,sober_chalk,0,0,615787.928,4009099.847
BS257,2006,1097,20,sober_chalk,0,0,618709,4008005
BS259,2009,103,32,chalk,1,1,607912.031,4014165.119
BS259,2006,103,32,chalk,1,0,607912.031,4014165.119
BS260,2006,240,11,control,1,0,607332.192,4013551.785
BS262,2006,542,25,sober_chalk,1,0,615038.734,4011024.868
BS265,2006,200,20,control,0,0,606275.006,4012335.935
BS267,2006,160,37,control,1,0,608200,4011096
BS271,2009,863,42,chalk,1,1,615762,4008368
BS271,2007,863,42,chalk,1,0,615762,4008368
BS272,2009,624,32,chalk,1,1,616856,4007067
BS272,2006,624,32,chalk,1,0,616856,4007067
BS272,2011,624,32,chalk,1,1,616856,4007067
BS272,2014,624,32,chalk,1,1,616856,4007067
BS272,2019,624,32,chalk,1,1,616856,4007067
BS272,2022,624,32,chalk,1,1,616856,4007067
BS273,2009,283,41,chalk,1,1,617340,4007505
BS273,2006,283,41,chalk,1,0,617340,4007505
BS273,2011,283,41,chalk,1,1,617340,4007505
BS273,2014,283,41,chalk,1,1,617340,4007505
BS273,2014,283,41,chalk,1,1,617340,4007505
BS273,2019,283,41,chalk,1,1,617340,4007505
BS273,2022,283,41,chalk,1,1,617340,4007505
BS274,2009,1153,39,sober_chalk,0,1,620802.426,4005843.061
BS274,2009,1153,39,sober_chalk,0,1,620802.426,4005843.061
BS274,2006,1153,39,sober_chalk,0,0,620802.426,4005843.061
BS274,2011,1153,39,sober_chalk,0,1,620802.426,4005843.061
BS274,2011,1153,39,sober_chalk,0,1,620802.426,4005843.061
BS274,2014,1153,39,sober_chalk,0,1,620802.426,4005843.061
BS274,2014,1153,39,sober_chalk,0,1,620802.426,4005843.061
BS276,2009,357,22,chalk,1,1,618151,4004755
BS276,2006,357,22,chalk,1,0,618151,4004755
BS276,2023,357,22,chalk,1,1,618151,4004755
BS276,2023,357,22,chalk,1,1,618151,4004755
BS277,2009,262,44,dolan_chalk,1,1,619975.317,4003208.572
BS277,2007,262,44,dolan_chalk,1,0,619975.317,4003208.572
BS277,2021,262,44,dolan_chalk,1,1,619975.317,4003208.572
BS278,2009,384,41,dolan_chalk,1,1,624836,3997025
BS278,2006,384,41,dolan_chalk,1,0,624836,3997025
BS278,2010,384,41,dolan_chalk,1,1,624836,3997025
BS278,2013,384,41,dolan_chalk,1,1,624836,3997025
BS278,2018,384,41,dolan_chalk,1,1,624836,3997025
BS278,2021,384,41,dolan_chalk,1,1,624836,3997025
BS279,2009,256,15,dolan_chalk,0,1,624077.786,3997439.473
BS279,2006,256,15,dolan_chalk,0,0,624077.786,3997439.473
BS279,2021,256,15,dolan_chalk,0,1,624077.786,3997439.473
BS281,2006,92,33,dolan,0,0,622873,3999060
BS282,2009,646,40,dolan_chalk,0,1,625504.595,3996481.287
BS282,2006,646,40,dolan_chalk,0,0,625504.595,3996481.287
BS282,2011,646,40,dolan_chalk,1,1,625504.595,3996481.287
BS282,2014,646,40,dolan_chalk,1,1,625504.595,3996481.287
BS282,2019,646,40,dolan_chalk,1,1,625504.595,3996481.287
BS282,2021,646,40,dolan_chalk,1,1,625504.595,3996481.287
BS283,2009,606,33,chalk,1,1,618664,4004717
BS283,2006,606,33,chalk,1,0,618664,4004717
BS283,2010,606,33,chalk,1,1,618664,4004717
BS283,2013,606,33,chalk,1,1,618664,4004717
BS283,2018,606,33,chalk,1,1,618664,4004717
BS283,2022,606,33,chalk,1,1,618664,4004717
BS287,2007,978,33,dolan_chalk,0,0,625037.211,4001501.306
BS292,2009,384,10,control,0,0,602873.399,4038823.128
BS292,2007,384,10,control,0,0,602873.399,4038823.128
BS292,2011,384,10,control,0,0,602873.399,4038823.128
BS292,2011,384,10,control,0,0,602873.399,4038823.128
